Id,State
6150c76a-dc98-4310-b88c-63fd47cc69ff,published
6150c5a5-ab06-4dfa-ae8d-1d3421642776,published
6150c289-8007-4d98-9c7e-ae72ac89d2c0,published
614e0e77-b95e-4758-abb9-310bc503df65,published
614cfc11-e2f3-48b4-a0a1-dce808f78544,closed
614cf9f8-c025-41f9-a549-4157e0d8a407,published
614cf619-3a96-41d1-9116-2c45cfd11240,published
614cd305-87d3-4552-9c71-097f5f8d782c,published
614cd304-6eac-4c52-b3de-bb2989120478,published
614cd302-b913-40c7-9d3c-84298b0407b7,published
614cd300-3c6d-49bd-b646-6397e4210397,published
614cd2fe-34b4-40f0-bd68-432b8b889b18,published
614cd2fc-b5b3-448b-b802-41b066dbbc64,published
614cd2fa-5d53-4ed1-a556-40c8093dceb6,published
614cd2f8-788b-4952-869a-7ac7d1c15e56,published
614cd2f6-dee0-43c9-8814-82d28aca71a1,published
614cd2f3-014e-4d23-97a8-522d09864a12,published
614cd2f1-53de-4dbb-aa36-53122475c78b,published
614cd2ef-1ede-46f6-8729-148b16c96bdf,published
614cd2ed-7fcd-4398-815b-03fab36311c8,published
614cd2ec-d159-4d78-bbfb-0a727637f920,published
614cd2ea-da5c-4847-b6a2-fd46c627eab2,published
614cd2e8-7657-46f3-8318-b6af194875a3,published
614cd2e6-31be-4edf-8d1e-1b39b52673aa,published
614cd2e4-17ba-4102-a924-86d170466b48,published
614cd2e3-45e2-4156-8ed4-a0732085dd39,published
614cd2e1-e588-4cdc-9a07-23be4d45928d,published
614cd2e0-6125-4a9a-96c7-8802a87215ff,published
614cd2dd-cbc5-4a9a-8b80-ddca19f38fcc,published
614cd2db-4d17-4e45-97a2-f12d9d0f98cd,published
614cd2d9-e1b2-4b08-9c3b-ed1d5fdf6b84,published
614cd2d8-f8cf-4ab6-a671-3ccedfafafa6,published
614cd2d6-44e1-41d2-a772-e3528186656a,published
614cd2d4-4127-46d0-9c18-2316a3411d18,published
614cd2d1-46af-4a5b-838d-28ab44ed4e5d,published
614cd2cf-ae16-4e44-9e7c-9cf15ffb93be,published
614cd2cd-8964-4d8d-bca8-f76f3c272872,published
614cd2cc-50db-4074-873a-2b8b75d9307e,published
614cd2cb-db6e-415f-947c-c653308afd5e,published
614cd2c9-b74d-4d3d-a58c-1e3c82fbebe4,published
614cd2c7-e61a-461a-af4a-174f583d7851,published
614cd2c5-db07-4cc9-88f6-1fc2df51ea54,published
614cd2c3-6c09-47d7-93f1-6c64896f04c7,published
614cd2c1-f514-48b6-8fba-8600ee49c6c0,published
614cd2c0-19db-45ce-9419-12a71d8fa764,published
614cd2bd-f8f1-4bd2-9d10-5792458ebed6,published
614cd2bc-c572-4ff6-9241-4f71411d114d,published
614cd2ba-de85-4653-a89b-913532f5a901,published
